ID	Species	Strain
SID001	Anopheles gambiae	Anopheles gambiae
SID030	Bacillus subtilis	Bacillus subtilis
SID028	Bacillus subtilis	Bacillus subtilis BSn5
SID025	Bacillus subtilis	Bacillus subtilis PY79
SID022	Bacillus subtilis	Bacillus subtilis QB928
SID023	Bacillus subtilis	Bacillus subtilis XF-1
SID026	Bacillus subtilis	Bacillus subtilis natto BEST195
SID018	Bacillus subtilis	Bacillus subtilis spizizenii TU-B-10
SID027	Bacillus subtilis	Bacillus subtilis spizizenii W23
SID020	Bacillus subtilis	Bacillus subtilis subtilis 6051-HGW
SID024	Bacillus subtilis	Bacillus subtilis subtilis BAB-1
SID021	Bacillus subtilis	Bacillus subtilis subtilis BSP1
SID029	Bacillus subtilis	Bacillus subtilis subtilis NCIB 3610
SID019	Bacillus subtilis	Bacillus subtilis subtilis RO-NN-1
SID009	Brucella abortus	Brucella abortus 2308
SID007	Brucella abortus	Brucella abortus A13334
SID010	Brucella abortus	Brucella abortus S19
SID008	Brucella abortus	Brucella abortus bv. 1 str. 9-941
SID005	Brucella abortus	Brucella abortus bv. 1 str. NI021
SID006	Brucella abortus	Brucella abortus bv. 1 str. NI259
SID002	Brucella abortus	Brucella abortus bv. 1 str. NI435a
SID003	Brucella abortus	Brucella abortus bv. 1 str. NI474
SID004	Brucella abortus	Brucella abortus bv. 1 str. NI486
SID011	Brucella abortus	Brucella abortus bv. 2 str. 86/8/59
SID015	Brucella melitensis	Brucella melitensis ATCC 23457
SID017	Brucella melitensis	Brucella melitensis M28
SID016	Brucella melitensis	Brucella melitensis M5-90
SID012	Brucella melitensis	Brucella melitensis NI
SID013	Brucella melitensis	Brucella melitensis bv. 2 str. 63/9
SID014	Brucella melitensis	Brucella melitensis bv. 3 str. Ether
SID032	Clostridium botulinum	Clostridium botulinum A str. ATCC 19397
SID031	Clostridium botulinum	Clostridium botulinum A str. ATCC 3502
SID033	Clostridium botulinum	Clostridium botulinum A str. Hall
SID041	Clostridium botulinum	Clostridium botulinum A2 str. Kyoto
SID037	Clostridium botulinum	Clostridium botulinum A3 str. Loch Maree
SID038	Clostridium botulinum	Clostridium botulinum B str. Eklund 17B (NRP)
SID036	Clostridium botulinum	Clostridium botulinum B1 str. Okra
SID045	Clostridium botulinum	Clostridium botulinum BKT015925
SID040	Clostridium botulinum	Clostridium botulinum Ba4 str. 657
SID035	Clostridium botulinum	Clostridium botulinum Bf
SID043	Clostridium botulinum	Clostridium botulinum D str. 1873
SID042	Clostridium botulinum	Clostridium botulinum E1 str. BoNT E Beluga
SID039	Clostridium botulinum	Clostridium botulinum E3 str. Alaska E43
SID044	Clostridium botulinum	Clostridium botulinum F str. 230613
SID034	Clostridium botulinum	Clostridium botulinum F str. Langeland
SID046	Clostridium botulinum	Clostridium botulinum H04402 065
SID047	Leishmania major	Leishmania major strain Friedlin
SID069	Mycobacterium tuberculosis	Mycobacterium tuberculosis 02_1987
SID056	Mycobacterium tuberculosis	Mycobacterium tuberculosis 7199-99
SID058	Mycobacterium tuberculosis	Mycobacterium tuberculosis Beijing/NITR203
SID060	Mycobacterium tuberculosis	Mycobacterium tuberculosis CAS/NITR204
SID064	Mycobacterium tuberculosis	Mycobacterium tuberculosis CCDC5079
SID065	Mycobacterium tuberculosis	Mycobacterium tuberculosis CCDC5180
SID052	Mycobacterium tuberculosis	Mycobacterium tuberculosis CDC1551
SID076	Mycobacterium tuberculosis	Mycobacterium tuberculosis CTRI-2
SID059	Mycobacterium tuberculosis	Mycobacterium tuberculosis EAI5
SID061	Mycobacterium tuberculosis	Mycobacterium tuberculosis EAI5/NITR206
SID071	Mycobacterium tuberculosis	Mycobacterium tuberculosis Erdman = ATCC 35801
SID062	Mycobacterium tuberculosis	Mycobacterium tuberculosis F11
SID070	Mycobacterium tuberculosis	Mycobacterium tuberculosis GM 1503
SID053	Mycobacterium tuberculosis	Mycobacterium tuberculosis H37Rv
SID063	Mycobacterium tuberculosis	Mycobacterium tuberculosis Haarlem
SID057	Mycobacterium tuberculosis	Mycobacterium tuberculosis Haarlem/NITR202
SID067	Mycobacterium tuberculosis	Mycobacterium tuberculosis KZN 1435
SID066	Mycobacterium tuberculosis	Mycobacterium tuberculosis KZN 4207
SID068	Mycobacterium tuberculosis	Mycobacterium tuberculosis KZN 605
SID072	Mycobacterium tuberculosis	Mycobacterium tuberculosis KZN R506
SID054	Mycobacterium tuberculosis	Mycobacterium tuberculosis RGTB327
SID055	Mycobacterium tuberculosis	Mycobacterium tuberculosis RGTB423
SID073	Mycobacterium tuberculosis	Mycobacterium tuberculosis SUMu008
SID074	Mycobacterium tuberculosis	Mycobacterium tuberculosis SUMu010
SID075	Mycobacterium tuberculosis	Mycobacterium tuberculosis SUMu012
SID050	Mycoplasma pneumoniae	Mycoplasma pneumoniae 309
SID049	Mycoplasma pneumoniae	Mycoplasma pneumoniae FH
SID048	Mycoplasma pneumoniae	Mycoplasma pneumoniae M129
SID051	Mycoplasma pneumoniae	Mycoplasma pneumoniae M129-B7
SID077	Plasmodium falciparum	Plasmodium falciparum 3D7
SID078	Vibrio albensis	Vibrio albensis VL426
