FeatureID	Rank	Adduct	Charge	CompoundID	mS-score
2	1	2M+H	1+	CPD-7035	1.36891828505294
2	2	M+H	1+	BIOTIN	0.335443664085792
2	3	M+CH3OH+H	1+	CPD-13932	-0.486967062722797
2	4	2M+H	1+	NIACINAMIDE	-0.623156402869315
2	5	M+2ACN+H	1+	15-ANHYDRO-D-FRUCTOSE	-0.664738819046275
2	6	2M+H	1+	4-HYDROXYBENZALDEHYDE	-0.940446578164666
2	7	M+IsoProp+H	1+	CPD-11497	-1.14498154063709
2	8	2M+H	1+	CPD0-1156	-1.31105569847778
2	9	M+DMSO+H	1+	CPD-13577	-1.39154007241949
2	10	M+IsoProp+Na+H	1+	D-ALA-D-ALA	-1.42943916501168
2	11	M+2ACN+H	1+	CARNITINE	-1.69936102465002
2	12	2M+H	1+	BENZOATE	-1.77236925134184
2	13	2M+Na	1+	CYTOSINE	-2.14287211546285
2	14	2M+H	1+	SALICYLALDEHYDE	-2.44915957824566
2	15	M+NH4	1+	DEOXYCYTIDINE	-2.58146450384699
2	16	M+IsoProp+Na+H	1+	CPD-341	-2.77683894713333
2	17	M+2ACN+H	1+	CPD-85	-2.94920670122122
2	18	M+2Na-H	1+	DODECANOATE	-3.14861579688529
530.3015_176.23	1	2M+NH4	1+	CPD-7229	-0.973448819168305
530.3015_176.23	2	2M+NH4	1+	L-ARGININE-P	-1.036112032842
530.3015_176.23	3	2M+ACN+Na	1+	CPD-1771	-2.48275127947833
13	1	M+2Na-H	1+	4-hydroxybenzoate	0.191337455337092
13	2	M+K	1+	CPD-9152	-0.194380606474247
13	3	M+2Na-H	1+	CPD-7616	-1.05940840002597
13	4	M+2Na-H	1+	CPD-110	-1.40682058219297
