FeatureID	Rank	Adduct	Charge	CompoundID	mS-score	BioCycUniq	CommonName	MolWeight	MonoMass	HMDB	PubChem
2	1	M+DMSO+H	1+	CID002075	2.80010104318948	PHE	L-phenylalanine	165.191	166.0868036346	HMDB00159	6925665
2	2	2M+H	1+	CID000058	2.5004346492044	PHENYLETHYLAMINE	2-phenylethylamine	122.189	122.0969743904	HMDB12275	448751
2	3	2M+H	1+	CID002969	2.11706282044189	CPD-7035	2-phenylethanol	122.166	122.0731649431	HMDB33944	6054
2	4	M+IsoProp+H	1+	CID000272	0.123368390742155	CPD-11497	3-methoxy-4-hydroxyphenylglycol	184.191	184.0735588736	HMDB01490	10805
2	5	M+IsoProp+Na+H	1+	CID002572	0.0567234316279366	N-ACETYL-L-24-DIAMINOBUTANOATE	<i>N</i>-acetyl-L-2,4-diaminobutanoate	160.172	161.092617294		25245066
2	6	M+NH4	1+	CID003368	-0.913797901595153	DEOXYCYTIDINE	2'-deoxycytidine	227.219	227.0906059213	HMDB00014	13711
2	7	M+IsoProp+H	1+	CID000245	-0.937698972981222	CPD-11875	normetanephrine	184.214	184.0973683209	HMDB00819	1237
2	8	M+IsoProp+H	1+	CID002755	-0.954975138039356	L-EPINEPHRINE	(R)-adrenaline	184.214	184.0973683209	HMDB00068	4102253
2	9	M+IsoProp+Na+H	1+	CID003484	-1.03396214992139	D-ALA-D-ALA	D-alanyl-D-alanine	160.172	161.092617294	HMDB03459	6992112
2	10	2M+H	1+	CID003079	-1.29525569197092	4-HYDROXYBENZALDEHYDE	4-hydroxybenzaldehyde	122.123	122.0367794368	HMDB11718	126
2	11	2M+H	1+	CID000718	-1.31234093135062	SALICYLALDEHYDE	salicylaldehyde	122.123	122.0367794368	HMDB34170	6998
2	12	2M+H	1+	CID000495	-1.65449881623904	NIACINAMIDE	nicotinamide	122.126	122.0480128251	HMDB01406	936
9	1	M+H+K	2+	CID000995	-0.199752564161733	CPD-12125	menaquinol-<i>7</i>	651.026	650.5062813628		447918
