"ID"	"mz"	"Rank"	"Adduct"	"Charge"	"CompoundID"	"DaError"	"BioCycUniq"	"CommonName"	"MolWeight"	"MonoMass"	"HMDB"	"PubChem"
1	145.54	1	2M+NH4	1+	CID002842	0.176058100000006	ZN+2	Zn<SUP>2+</SUP>	65.38	63.9291466	HMDB01303	32051
1	145.54	2	2M+H	1+	CID001189	0.208847121100007	CPD-7000	isobutanal	72.107	72.0575148789	HMDB31243	6561
1	145.54	2	2M+H	1+	CID003438	0.208847121100007	BUTANAL	butanal	72.107	72.0575148789	HMDB03543	261
1	145.54	3	2M+H	1+	CID002062	0.2452326274	METHYL-GLYOXAL	methylglyoxal	72.063	72.0211293726	HMDB01167	880
1	145.54	4	M+ACN+Na	1+	CID002125	0.407936864200011	CPD-678	hydrogen selenide	80.976	81.9321718642	HMDB11110	6326970
1	145.54	5	M+H	1+	CID002869	0.417694242200014	CPD-195	octanoate	143.205	144.1150297578	HMDB00482	119389
1	145.54	6	M+2ACN+H	1+	CID003387	0.419041115899994	ETHANOL-AMINE	ethanolamine	62.091	62.0605888841	HMDB00149	444693
1	145.54	7	M+ACN+Na	1+	CID000465	0.448229620500015	HSO3	bisulfite	81.066	81.9724646205	HMDB01033	104748
1	145.54	7	M+ACN+Na	1+	CID002490	0.448229620500015	SO3	sulfite	80.058	81.9724646205	HMDB00240	1099
1	145.54	8	M+2ACN+H	1+	CID000354	0.449971100000013	CU+2	Cu<SUP>2+</SUP>	63.546	62.9296011	HMDB00657	27099
1	145.54	9	M+Na	1+	CID000058	0.453807609599991	PHENYLETHYLAMINE	2-phenylethylamine	122.189	122.0969743904	HMDB12275	448751
1	145.54	10	M+2ACN+H	1+	CID000676	0.460609117399983	CPD-7670	dimethyl sulfide	62.129	62.0190208826	HMDB02303	1068
1	145.54	11	M+2ACN+H	1+	CID001995	0.462837081599986	CPD-12708	fluoroacetaldehyde	62.043	62.0167929184		73766
1	145.54	12	M+Na	1+	CID002969	0.477617056900002	CPD-7035	2-phenylethanol	122.166	122.0731649431	HMDB33944	6054
1	145.54	13	M+2Na-H	1+	CID000728	0.478838474100002	CPD-16013	2-iminobutanoate	100.097	101.0476784741		19796801
1	145.54	13	M+2Na-H	1+	CID000801	0.478838474100002	CPD-15056	(2Z)-2-aminobut-2-enoate	100.097	101.0476784741		45259183
1	145.54	14	M+CH3OH+H	1+	CID001530	0.479233616999991	URACIL	uracil	112.088	112.027277383	HMDB00300	1174
1	145.54	15	M+2ACN+H	1+	CID000915	0.47923606949999	HCO3	hydrogen carbonate	61.017	62.0003939305	HMDB00595	769
1	145.54	15	M+2ACN+H	1+	CID002863	0.47923606949999	H2CO3	carbonic acid	62.025	62.0003939305	HMDB03538	767
1	145.54	16	M+Na	1+	CID000979	0.481246409899995	NIACINE	nicotinate	122.103	123.0320284099	HMDB01488	937
2	530.3015	1	M+CH3OH+H	1+	CID000394	0.000521749100016677	CPD66-21	leukotriene-D4	495.653	497.2685327491		52940265
2	530.3015	2	2M+ACN+Na	1+	CID001564	0.0291208333999862	N2-SUCCINYLORNITHINE	N<sup>2</sup>-succinyl-L-ornithine	231.228	233.1137466666	HMDB01199	25244550
2	530.3015	2	2M+ACN+Na	1+	CID002786	0.0291208333999862	CPD-9000	4-(L-&gamma;-glutamylamino)butanoate	231.228	233.1137466666	HMDB12161	25245457
2	530.3015	3	2M+ACN+H	1+	CID001736	0.045675419700018	BIOTIN	biotin	243.3	244.0881630803	HMDB00030	6560210
2	530.3015	4	2M+NH4	1+	CID001302	0.0517263128000423	CPD-8259	&beta;-D-ribosylnicotinate	255.227	256.0821121872	HMDB06809	25203005
2	530.3015	5	2M+ACN+H	1+	CID000007	0.0643023718000109	CPD-497	pseudouridine	244.204	244.0695361282	HMDB00767	15047
2	530.3015	5	2M+ACN+H	1+	CID000972	0.0643023718000109	URIDINE	uridine	244.204	244.0695361282	HMDB00296	6029
2	530.3015	6	2M+NH4	1+	CID000213	0.106391771399956	PALMITATE	palmitate	255.42	256.2402302714	HMDB00220	504166
2	530.3015	7	2M+NH4	1+	CID001479	0.135420102200015	L-ASCORBATE-6-PHOSPHATE	L-ascorbate 6-phosphate	253.082	255.9984183978		54723847
2	530.3015	8	M+IsoProp+H	1+	CID000540	0.164977554100062	2-ALPHA-HYDROXYETHYL-THPP	2-(&alpha;-hydroxyethyl)thiamine diphosphate	466.341	469.0711824459		46878487
2	530.3015	9	M+2ACN+H	1+	CID002356	0.17292444200001	CDP-ETHANOLAMINE	CDP-ethanolamine	446.247	447.068205558		25202847
2	530.3015	10	M+Na	1+	CID001475	0.316536843100096	ATP	ATP	503.152	506.9957451569	HMDB00538	5461108
2	530.3015	10	M+Na	1+	CID002063	0.316536843100096	DGTP	dGTP	503.152	506.9957451569	HMDB01440	25246112
2	530.3015	11	M+Na	1+	CID000781	0.326052695200019	PAPS	3'-phosphoadenylyl-sulfate	503.23	506.9862293048	HMDB01134	46926099
2	530.3015	12	2M+K	1+	CID003494	0.3366547599	CPD-4211	dimethylallyl diphosphate	243.069	246.0058257599	HMDB01120	15983958
2	530.3015	12	2M+K	1+	CID003514	0.3366547599	DELTA3-ISOPENTENYL-PP	isopentenyl diphosphate	243.069	246.0058257599	HMDB01347	15983957
2	530.3015	13	M+K	1+	CID002516	0.337511465200009	DATP	dATP	487.152	491.0008305348	HMDB01532	25320183
2	530.3015	14	2M+Na	1+	CID000874	0.363012839899966	SHIKIMATE-5P	shikimate 3-phosphate	251.109	254.0191538399		14506806
2	530.3015	15	2M+K	1+	CID001554	0.381282968299985	GLYCEROPHOSPHOGLYCEROL	glycerophosphoglycerol	245.146	246.0504539683		25202983
2	530.3015	16	2M+H	1+	CID000982	0.465194878600016	THIAMINE	thiamin	265.352	265.1123068786	HMDB00235	1130
